TE	Superfamily	B.xylophilus	D.destructor	D.destructor	G.rostochiensis	G.pallida	G.rostochiensis	M.arenaria	M.enterolobii	M.grammicola	M.hapla	M.incognita	M.javanica 	P.redivivus
DNA	DNA/TcMar-Tc1	3.473778835	2.784617293	4.003632837	2.742725131	0	0	4.46375865	3.68690427	0	0	3.391288049	3.850401148	3.190891717
DNA	DNA/TcMar-Tc2	0	3.698361566	5.14525236	3.788945727	2.666517981	3.938319543	4.585889172	4.475598558	1.903089987	3.717420837	3.942057684	4.728629695	0
DNA	DNA/TcMar-Tc4	4.720208934	4.892901196	2.334453751	0	0	1.770852012	0	0	0	0	0	0	0
DNA	DNA/TcMar-Tigger	2.793790385	2.606381365	4.146314122	0	0	0	2.283301229	0	0	0	0	0	0
DNA	DNA/Zator	0	0	0	0	0	0	0	0	0	0	0	0	1.929418926
DNA	DNA/Zisupton	0	0	0	0	0	0	0	0	0	0	2.28780173	0	0
DNA	DNA/hAT	0	0	4.33703974	2.774516966	2.212187604	3.088844563	4.002813779	3.720985744	0	2.756636108	3.908485019	3.882809041	0
DNA	DNA/hAT-Ac	4.634618317	3.935859798	4.453257168	3.786893325	4.384030665	4.141700557	4.52856964	4.015192042	0	3.399673721	4.569104587	4.580856577	0
DNA	DNA/hAT-Blackjack	0	0	1.322219295	0	1.799340549	3.519302849	0	0	0	0	1.602059991	3.18920949	0
DNA	DNA/hAT-Charlie	0	0	4.118066222	0	2.173186268	0	0	0	0	0	3.301680949	1.462397998	0
DNA	DNA/hAT-Tag1	2.603144373	0	3.163161375	2.771587481	2.356025857	0	3.287577809	0	0	1.949390007	0.954242509	0	0
DNA	DNA/hAT-Tip100	0	2.57054294	3.591398551	2.776701184	0	2.152288344	1.447158031	0	0	0	0	0	0
DNA	DNA/hAT-hAT19	0	2.7084209	1.447158031	3.839980558	3.29841638	3.912115729	3.548880563	2.068185862	0	0	3.428296814	3.096910013	0
DNA	DNA/hAT-hATm	0	0	3.773859552	0	0	0	0	0	0	0	0	0	0
DNA	DNA/hAT-hATx	0	0	0	3.151982395	2.396199347	3.660770644	2.838219222	2.737987326	0	0	2.477121255	2.90579588	0
DNA	DNA/hAT-hobo	0	0	2.324282455	0	0	0	0	0	1.602059991	0	0	0	0
LINE	LINE/CR1	0	1.903089987	2.728353782	1.591064607	0	3.547897718	2.795880017	3.825620825	0	2.041392685	2.515873844	2.888179494	0.698970004
LINE	LINE/I	0	0	2.758154622	0	0	0	0	0	0	0	0	0	0
LINE	LINE/I-Jockey	0	0	3.405517107	0	0	2.309630167	0	0	0	0	0	0	0
LINE	LINE/L1	0	0	1.079181246	1.278753601	0	2.170261715	3.118925753	2.245512668	0	0	1.462397998	0.602059991	0
LINE	LINE/L2	0	0	0	2.727541257	0	2.257678575	1.982271233	0	0	0	1.740362689	0.698970004	0
LINE	LINE/Penelope	0	0	3.326540669	0	0	3.310693312	0	0	0	0	0	0	0
LINE	LINE/R1	0	0	0	0	0.602059991	0	2.712649702	0	0	0	0	0	0
LINE	LINE/R2-NeSL	0	0	0	0	0	0	0	0	2.559906625	0	0	0	3.555940438
LINE	LINE/Tad1	1.204119983	0	0	0	0	2.625312451	0	0	0	0	0	0	0
LTR	LTR	0	0	0	1.785329835	0	0	0	0	0	0	0	1.505149978	0
LTR	LTR/Copia	1.968482949	2.11058971	4.007363654	2.089905111	1.954242509	1.919078092	3.074450719	1.278753601	0	0	2.079181246	2.491361694	3.016197354
LTR	LTR/DIRS	0	0	0	0	0	0	0	0	0	0	0	0	0.77815125
LTR	LTR/ERV1	1.322219295	0	1.716003344	0	1.755874856	0	0	0	0	0	0	0	0
LTR	LTR/ERVK	0	0	3.219846386	0	0	0	0	0	0	0	0	1.986771734	0
LTR	LTR/Gypsy	4.576571684	3.363423933	4.915568665	3.581380689	3.50731604	4.381313673	4.578352642	4.149188311	0	2.283301229	4.713490543	4.864926192	3.40790054
LTR	LTR/Ngaro	0	0	2.311753861	0	0	0	0	0	0	0	0	0	0
LTR	LTR/Pao	1.681241237	1.301029996	1.342422681	2.198657087	1.851258349	3.635584266	4.366161368	4.256862006	0	1.447158031	4.015359755	4.736555847	0.602059991
LTR	LTR/Unknown	4.141951196	0.84509804	3.519171464	3.164650216	2.767897616	2.926342447	4.533962608	3.816970038	0	2.748962861	3.271841607	3.674585602	2
Low_complexity	Low_complexity	2.004321374	0	2.041392685	2.67669361	3.027349608	3.946157395	3.690550462	3.469822016	3.274619619	3.13001195	3.521530341	3.632558515	0
RC	RC/Helitron	4.644428741	4.270934913	5.17799508	3.252124553	1.924279286	4.714874382	4.224636639	4.198602109	3.249442961	3.659726095	4.252051637	4.367542274	3.663040975
SINE	SINE/5S	0	0	3.188365926	0.602059991	0	0	0	0	0	0	0	0	0
SINE	SINE/MIR	2.488550717	0	0	0	0	0	0	0	0	0	0	0	0
SINE	SINE/tRNA	3.912540883	0	0	0	0	0	0	0	0	0	0	0	0
SINE	SINE/tRNA-Deu	0	0	0	1.176091259	1.278753601	0	0	0	0	0	0	0	0
SINE	SINE/tRNA-Deu-I	1.62324929	0	0	0	0	0	0	0	0	0	0	0	0
